# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
87,DZF,DZF,DZF,10/26/2025,DZF,185,Local crossbred,Cow,.,Right,13.2,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,115
88,DZF,DZF,DZF,10/26/2025,DZF,202,Local crossbred,Cow,Yes,Right,17,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
89,DZF,DZF,DZF,10/26/2025,DZF,209,Local crossbred,Cow,Yes,Right,15.2,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
90,DZF,DZF,DZF,10/26/2025,DZF,210,Local crossbred,Cow,Yes,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
91,DZF,DZF,DZF,10/26/2025,DZF,211,Local crossbred,Cow,Yes,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,115
92,DZF,DZF,DZF,10/26/2025,DZF,212,Local crossbred,Cow,Yes,Left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
93,DZF,DZF,DZF,10/26/2025,DZF,215,Local crossbred,Cow,Yes,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,8,1,,7,,Open,,,,10/18/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
94,DZF,DZF,DZF,10/26/2025,DZF,217,Local crossbred,Cow,Yes,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
95,DZF,DZF,DZF,10/26/2025,DZF,219,Local crossbred,Cow,Yes,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,115
96,DZF,DZF,DZF,10/26/2025,DZF,222,Local crossbred,Cow,Yes,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,909,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
97,DZF,DZF,DZF,10/26/2025,DZF,223,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
98,DZF,DZF,DZF,10/26/2025,DZF,226,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
99,DZF,DZF,DZF,10/26/2025,DZF,228,Local crossbred,Cow,Yes,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
100,DZF,DZF,DZF,10/26/2025,DZF,229,Local crossbred,Cow,Yes,Left,18,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Pregnant,,,,10/18/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,115
101,DZF,DZF,DZF,10/26/2025,DZF,230,Local crossbred,Cow,Yes,Left,18.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
102,DZF,DZF,DZF,10/26/2025,DZF,188,Local crossbred,Cow,Yes,Left,13,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
103,DZF,DZF,DZF,10/26/2025,DZF,239,Local crossbred,Cow,Yes,Left,16.6,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,608,Grey Brahman,1.9,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
104,DZF,DZF,DZF,10/26/2025,DZF,246,Local crossbred,Cow,Yes,Right,12.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
105,DZF,DZF,DZF,10/26/2025,DZF,268,Local crossbred,Cow,Yes,Right,17.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Masroor,,6,1,,7,,Open,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
106,DZF,DZF,DZF,10/26/2025,DZF,322,Local crossbred,Cow,Yes,Left,12,Natural heat,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
107,DZF,DZF,DZF,10/26/2025,DZF,303,Local crossbred,Cow,Yes,Right,12,Natural heat,Fresh,,,Ruben,Masroor,,7,1,,7,,Open,,,,10/18/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
108,DZF,DZF,DZF,10/27/2025,DZF,96,Local crossbred,Cow,.,left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,
109,DZF,DZF,DZF,10/27/2025,DZF,97,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Pregnant,,,,10/19/2025,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,114
110,DZF,DZF,DZF,10/27/2025,DZF,62,Local crossbred,Cow,.,Right,10,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,,Open,,,,10/19/2025,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
111,DZF,DZF,DZF,10/27/2025,DZF,109,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,,Conventional,Angus,,,
112,DZF,DZF,DZF,10/27/2025,DZF,32038,Local crossbred,Cow,Yes,left,15,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
113,DZF,DZF,DZF,10/27/2025,DZF,32144,Local crossbred,Cow,Yes,Right,16.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Pregnant,,,,10/19/2025,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-114,114
114,DZF,DZF,DZF,10/27/2025,DZF,32240,Local crossbred,Cow,Yes,Right,20,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
115,DZF,DZF,DZF,10/27/2025,DZF,32835,Local crossbred,Cow,.,left,16,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,D3,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
116,DZF,DZF,DZF,10/27/2025,DZF,76,Local crossbred,Cow,Yes,Right,15,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,6,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
117,DZF,DZF,DZF,10/27/2025,DZF,79,Local crossbred,Cow,Yes,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
118,DZF,DZF,DZF,10/27/2025,DZF,90,Local crossbred,Cow,.,Right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Pregnant,,,,10/19/2025,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,114
119,DZF,DZF,DZF,10/27/2025,DZF,91,Local crossbred,Cow,.,left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
120,DZF,DZF,DZF,10/27/2025,DZF,56,Local crossbred,Cow,.,Right,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
121,DZF,DZF,DZF,10/27/2025,DZF,65,Local crossbred,Cow,.,Right,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,,Pregnant,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,114
122,DZF,DZF,DZF,10/27/2025,DZF,105,Local crossbred,Cow,Yes,Right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
123,DZF,DZF,DZF,10/27/2025,DZF,31518,Local crossbred,Cow,Yes,Left,18,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
124,DZF,DZF,DZF,10/27/2025,DZF,31546,Local crossbred,Cow,Yes,Right,13.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Pregnant,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,114
125,DZF,DZF,DZF,10/27/2025,DZF,31947,Local crossbred,Cow,.,right,13,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,6,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
126,DZF,DZF,DZF,10/27/2025,DZF,31996,Local crossbred,Cow,.,right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
127,DZF,DZF,DZF,10/27/2025,DZF,32005,Local crossbred,Cow,Yes,Left,16.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
128,DZF,DZF,DZF,10/27/2025,DZF,32093,Local crossbred,Cow,Yes,Right,17,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
129,DZF,DZF,DZF,10/27/2025,DZF,32096,Local crossbred,Cow,.,Right,12,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,Yes,7,,Open,,,,10/19/2025,608,Grey Brahman,1.9,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
130,DZF,DZF,DZF,10/27/2025,DZF,32107,Local crossbred,Cow,.,Right,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,,Open,,,,10/19/2025,D2,Nukra,.,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
131,DZF,DZF,DZF,10/27/2025,DZF,32115,Local crossbred,Cow,.,left,16.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
132,DZF,DZF,DZF,10/27/2025,DZF,32216,Local crossbred,Cow,.,Right,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,,Pregnant,,,,10/19/2025,D2,Nukra,.,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-114,114
133,DZF,DZF,DZF,10/27/2025,DZF,32305,Local crossbred,Cow,Yes,Right,18.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
134,DZF,DZF,DZF,10/27/2025,DZF,32391,Local crossbred,Cow,.,Right,11.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,8,1,,7,,Open,,,,10/19/2025,D2,Nukra,.,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
135,DZF,DZF,DZF,10/27/2025,DZF,32395,Local crossbred,Cow,.,Right,15.7,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
136,DZF,DZF,DZF,10/27/2025,DZF,77,Local crossbred,Cow,.,Right,16,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,612,Grey Brahman,2.2,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
137,DZF,DZF,DZF,10/27/2025,DZF,63,Local crossbred,Cow,Yes,Right,15.5,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
138,DZF,DZF,DZF,10/27/2025,DZF,75,Local crossbred,Cow,Yes,left,10,CIDR+GnRH+PGF+GnRH,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
139,DZF,DZF,DZF,10/27/2025,DZF,72,Local crossbred,Cow,.,Left,16.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
140,DZF,DZF,DZF,10/27/2025,DZF,68,Local crossbred,Cow,.,Left,13.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Pregnant,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,114
141,DZF,DZF,DZF,10/27/2025,DZF,100,Local crossbred,Cow,.,left,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,2/4,Red Brahman,2.8,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
142,DZF,DZF,DZF,10/27/2025,DZF,31291,Local crossbred,Cow,.,right,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Pregnant,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,114
143,DZF,DZF,DZF,10/27/2025,DZF,31499,Local crossbred,Cow,.,right,14,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,04-08,Beef Master,3.6,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
144,DZF,DZF,DZF,10/27/2025,DZF,31528,Local crossbred,Cow,.,right,17,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,248,Grey Brahman,1.4,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
145,DZF,DZF,DZF,10/27/2025,DZF,32039,Local crossbred,Cow,Yes,Left,18.5,Natural heat,Fresh,,,Ruben,Javeria,,7,1,Yes,7,,Open,,,,10/19/2025,204,Red Brahman,3.7,Reconquista 413 Eterno GC Bartolome,.,Conventional,Angus,,,
146,DZF,DZF,DZF,10/27/2025,DZF,251,Local crossbred,Cow,Yes,Left,12,Natural heat,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,257,Grey Brahman,1.6,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
147,DZF,DZF,DZF,10/27/2025,DZF,135,Local crossbred,Cow,Yes,Right,17,Natural heat,Fresh,,,Ruben,Javeria,,7,1,,7,,Open,,,,10/19/2025,248,Grey Brahman,1.4,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
148,DZF,DZF,DZF,11/3/2025,DZF,31591,Local crossbred,Cow,.,Right,15.5,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,12/3/2025,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
149,DZF,DZF,DZF,11/3/2025,DZF,31724,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Pregnant,,,,10/26/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,107
150,DZF,DZF,DZF,11/3/2025,DZF,31733,Local crossbred,Cow,.,Left,10.25,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Open,,,,10/26/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
151,DZF,DZF,DZF,11/3/2025,DZF,31786,Local crossbred,Cow,.,Right,9,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,,Open,,,,10/26/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
152,DZF,DZF,DZF,11/3/2025,DZF,31811,Local crossbred,Cow,.,Left,15.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,,Open,,,,10/26/2025,04-08,Beef Master,3.6,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
153,DZF,DZF,DZF,11/3/2025,DZF,31828,Local crossbred,Cow,.,Right,18.5,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
154,DZF,DZF,DZF,11/3/2025,DZF,31874,Local crossbred,Cow,.,Right,18,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
155,DZF,DZF,DZF,11/3/2025,DZF,31922,Local crossbred,Cow,.,Right,13.5,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
156,DZF,DZF,DZF,11/3/2025,DZF,32062,Local crossbred,Cow,.,Right,10.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Open,,,,10/26/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
157,DZF,DZF,DZF,11/3/2025,DZF,32141,Local crossbred,Cow,.,Left,11.5,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
158,DZF,DZF,DZF,11/3/2025,DZF,32145,Local crossbred,Cow,.,Left,14.5,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Pregnant,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,107
159,DZF,DZF,DZF,11/3/2025,DZF,32171,Local crossbred,Cow,.,Left,14.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,,Open,,,,10/26/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
160,DZF,DZF,DZF,11/3/2025,DZF,32205,Local crossbred,Cow,.,Right,13.5,CIDR+GnRH+PGF+GnRH,Frozen,.,8/20/2025,Ruben,Umer,,6,1,,7,,Open,,,,8/12/2025,827,Red Brahman,3.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
161,DZF,DZF,DZF,11/3/2025,DZF,32238,Local crossbred,Cow,.,Left,14.3,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
162,DZF,DZF,DZF,11/3/2025,DZF,32,Local crossbred,Cow,.,Left,19,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Open,,,,10/26/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
163,DZF,DZF,DZF,11/3/2025,DZF,32291,Local crossbred,Cow,.,Right,14.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Open,,,,10/26/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
164,DZF,DZF,DZF,11/3/2025,DZF,32793,Local crossbred,Cow,.,Right,14.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,,Open,,,,10/26/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
165,DZF,DZF,DZF,11/3/2025,DZF,32824,Local crossbred,Cow,.,Left,15,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,8,1,,7,,Pregnant,,,,10/26/2025,D2,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,Dawood,-107,107
166,DZF,DZF,DZF,11/3/2025,DZF,32826,Local crossbred,Cow,.,Left,17.2,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,,Open,,,,10/26/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
167,DZF,DZF,DZF,11/3/2025,DZF,87,Local crossbred,Cow,.,Right,11.6,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
168,DZF,DZF,DZF,11/3/2025,DZF,94,Local crossbred,Cow,.,Left,11.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Open,,,,10/26/2025,408,Beef Master,3.6,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
169,DZF,DZF,DZF,11/3/2025,DZF,95,Local crossbred,Cow,.,Right,13,CIDR+GnRH+PGF+GnRH,Frozen,.,9/24/2025,Ruben,Umer,,7,1,,7,,Open,,,,9/16/2025,649,Grey Brahman,1.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
170,DZF,DZF,DZF,11/3/2025,DZF,54,Local crossbred,Cow,.,Right,16.75,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,,Pregnant,,,,10/26/2025,04-08,Beef Master,3.6,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,107
171,DZF,DZF,DZF,11/3/2025,DZF,53,Local crossbred,Cow,.,Left,12.5,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,Yes,7,,Open,,,,10/26/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
172,DZF,DZF,DZF,11/3/2025,DZF,31890,Local crossbred,Cow,.,Left,12.3,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,6,1,,7,,Open,,,,10/26/2025,D3,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
173,DZF,DZF,DZF,11/3/2025,DZF,32159,Local crossbred,Cow,.,Right,15.75,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,8,1,,7,,Open,,,,10/26/2025,D2,Nukra,.,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,
174,DZF,DZF,DZF,11/3/2025,DZF,31583,Local crossbred,Cow,Yes,Left,16,Natural heat,Fresh,,,Ruben,Umer,,6,1,,7,,Pregnant,,,,10/26/2025,612,Grey Brahman,2.2,BRC MR. JUMANJI 67,2.1,Conventional,Grey Brahman,,,107
175,DZF,DZF,DZF,11/13/2025,DZF,78,Local crossbred,Cow,.,Left,11,CIDR+GnRH+PGF+GnRH,Fresh,.,,Ruben,Umer,,7,1,,7,12/12/2025,Open,,,,11/5/2025,597,Grey Brahman,2.9,Mr Karu Manso 800,3.7,Sexed Female,Grey Brahman,,,
