# ET,Lab,Satellite,Customer ID,ET Date,ET Location (recipient farm),Recipient ID,Recipient ID,Cow/Heifer,Heat,CL Side,CL measure (mm),Protocol,Fresh or Frozen,# Cane if Frozen,Freezing date,ET Tech,ET assistant,BCScore,Embryo Stage 4-8,Embryo Grade,Heat,Heat day,1st PC date,1st PC Result,2nd PC date,2nd PC Result,Fetal Sexing,OPU Date,Donor,Donor Breed,Donor BW EPD,SIRE Name,SIRE BW EPD,Semen type,SIRE Breed,CLIENT ,DIP,DIP
21,DZF,DZF,DZF,5/22/2025,DZF,40,Local crossbred,Cow,.,Left,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,8,1,,7,,Open,,,,5/14/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
22,DZF,DZF,DZF,5/22/2025,DZF,41,Local crossbred,Cow,.,Left,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,"6,7",1,,7,,Open,,,,5/14/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,
23,DZF,DZF,DZF,5/22/2025,DZF,46,Local crossbred,Cow,.,Right,15,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,6,1,,7,,Open,,,,5/14/2025,967,Grey Brahman,3,NCC Jackpot,,Conventional,Grey Brahman,,,
24,DZF,DZF,DZF,5/22/2025,DZF,48,Local crossbred,Cow,.,Left,17,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,"6,7",1,,7,,Open,,,,5/14/2025,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
25,DZF,DZF,DZF,5/22/2025,DZF,49,Local crossbred,Cow,.,Left,15,CIDR+E2+PGF+ECG,Fresh,.,,Hamid,Hamid,,7,1,,7,,Open,,,,5/14/2025,602,Grey Brahman,2.5,NCC Jackpot,,Conventional,Grey Brahman,,,
26,DZF,DZF,DZF,5/22/2025,DZF,50,Local crossbred,Cow,.,Right,15,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,6,1,,7,,Pregnant,,,,5/14/2025,600,Grey Brahman,1.6,NCC Jackpot,,Conventional,Grey Brahman,,,272
27,DZF,DZF,DZF,5/22/2025,DZF,52,Local crossbred,Cow,.,Left,14,CIDR+E2+PGF+ECG,Fresh,.,,Fakhar,Hamid,,"6,8",1,,7,,Open,,,,5/14/2025,D3,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
28,DZF,DZF,DZF,5/22/2025,DZF,8,Local crossbred,Cow,.,Left,12,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,8,1,,7,,Pregnant,,,,5/14/2025,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,272
29,DZF,DZF,DZF,5/22/2025,DZF,10,Local crossbred,Cow,.,Right,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,5/14/2025,909,Grey Brahman,2.1,NCC Jackpot,,Conventional,Grey Brahman,,,
30,DZF,DZF,DZF,5/22/2025,DZF,13,Local crossbred,Cow,.,Right,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,8,1,,7,,Open,,,,5/14/2025,609,Grey Brahman,2.3,CAUCHITOS KARU SIMON 922/6,,Conventional,Grey Brahman,,,
31,DZF,DZF,DZF,5/22/2025,DZF,15,Local crossbred,Cow,.,Right,17,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Pregnant,,,,5/14/2025,967,Grey Brahman,3,NCC Jackpot,,Conventional,Grey Brahman,,,272
32,DZF,DZF,DZF,6/20/2025,DZF,R4,Local crossbred,Cow,.,.,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Pregnant,,,,6/13/2025,D2,Nukra,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,Dawood,-243,243
33,DZF,DZF,DZF,6/20/2025,DZF,3,Local crossbred,Cow,.,.,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,6/13/2025,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
34,DZF,DZF,DZF,6/20/2025,DZF,4,Local crossbred,Cow,.,.,15,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,6/13/2025,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
35,DZF,DZF,DZF,6/20/2025,DZF,7,Local crossbred,Cow,.,.,15,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,6/13/2025,D1,Beef crossbred,,MR. CLAYTON SLUGGER,2.5,Conventional,Grey Brahman,,,
36,DZF,DZF,DZF,6/20/2025,DZF,20,Local crossbred,Cow,.,.,14,CIDR+E2+PGF+ECG,Fresh,.,,Hamid,Hamid,,7,1,,7,,Open,,,,6/13/2025,609,Grey Brahman,2.3,NCC Jackpot,,Conventional,Grey Brahman,,,
37,DZF,DZF,DZF,6/20/2025,DZF,22,Local crossbred,Cow,.,.,16,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,6/13/2025,597,Grey Brahman,2.9,NCC Jackpot,,Conventional,Grey Brahman,,,
38,DZF,DZF,DZF,6/21/2025,DZF,35,Local crossbred,Cow,.,Left,11,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Pregnant,,,,6/13/2025,967,Grey Brahman,3,Commando 888/47,,Conventional,Red Brahman,,,242
39,DZF,DZF,DZF,6/21/2025,DZF,51,Local crossbred,Cow,.,Left,14,CIDR+E2+PGF+ECG,Fresh,.,,Yaseen,Hamid,,7,1,,7,,Open,,,,6/13/2025,612,Grey Brahman,2.2,Commando 888/47,,Conventional,Red Brahman,,,
40,DZF,DZF,DZF,6/21/2025,DZF,42,Local crossbred,Cow,.,Right,13,CIDR+E2+PGF+ECG,Fresh,.,,Hamid,Hamid,,7,1,,7,,Open,,,,6/13/2025,612,Grey Brahman,2.2,Commando 888/47,,Conventional,Red Brahman,,,
41,DZF,DZF,DZF,7/14/2025,DZF,49,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,991,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
42,DZF,DZF,DZF,7/14/2025,DZF,37,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
43,DZF,DZF,DZF,7/14/2025,DZF,27,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,991,Grey Brahman,2.1,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
44,DZF,DZF,DZF,7/14/2025,DZF,25,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,609,Grey Brahman,2.3,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
45,DZF,DZF,DZF,7/14/2025,DZF,48,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,612,Grey Brahman,2.2,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
46,DZF,DZF,DZF,7/15/2025,DZF,16,Local crossbred,Cow,.,.,.,CIDR+E2+PGF+ECG,Fresh,.,,Masroor,Hamid,,7,1,,7,,Open,,,,7/7/2025,602,Grey Brahman,2.5,JDH Janos Manso 709,2,Conventional,Grey Brahman,,,
